,Name,Symbol,Exact Mass,
,g,m1G,359.0630849,
,g,m2G,359.0630849,
,g,mG,359.0630849,
,ac4C,ac4C,347.05185,
,g,m7G,359.0630849,
,c,m3C,319.0569369,
,c,m5C,319.0569369,
,c,m4C,319.0569369,
,c,mC,319.0569369,
,T,m5U,320.0409525,
,D,hU,308.0409525,
,G^,m22G,373.0787,
,m,ms2i6A,443.1028,
,m,i6A,397.11512,
,a,m1A,343.0681703,
,a,m6A,343.0681703,
,t,t6A,474.09003,
,Y,yW,570.1475,
,Y,Y,570.1475,
,m1I,m1I,344.052,
,I,I,330.03654,
,A,A,329.0525,
,C,C,305.0413,
,G,G,345.0474,
,U,U,306.0253,
,U,Ψ,306.0253,
,D,D,308.0409525,
,T,T,320.0409525,
